UNIPROT	PATH	PATHNAME
P28574	mmu05222	Small cell lung cancer
P28574	mmu04010	MAPK signaling pathway
P28574	mmu05202	Transcriptional misregulation in cancer
P28574	mmu05200	Pathways in cancer
P28574	mmu03083	Polycomb repressive complex
P28649	mmu01100	Metabolic pathways
P28649	mmu04913	Ovarian steroidogenesis
P28649	mmu00140	Steroid hormone biosynthesis
P28650	mmu01240	Biosynthesis of cofactors
P28650	mmu01232	Nucleotide metabolism
P28650	mmu01100	Metabolic pathways
P28650	mmu00250	Alanine, aspartate and glutamate metabolism
P28650	mmu00230	Purine metabolism
P28651	mmu01100	Metabolic pathways
P28651	mmu00910	Nitrogen metabolism
P28652	mmu05214	Glioma
P28652	mmu04725	Cholinergic synapse
P28652	mmu05022	Pathways of neurodegeneration - multiple diseases
P28652	mmu04114	Oocyte meiosis
P28652	mmu05152	Tuberculosis
P28652	mmu04971	Gastric acid secretion
P28652	mmu04916	Melanogenesis
P28652	mmu05415	Diabetic cardiomyopathy
P28652	mmu05205	Proteoglycans in cancer
P28652	mmu04921	Oxytocin signaling pathway
P28652	mmu04066	HIF-1 signaling pathway
P28652	mmu04360	Axon guidance
P28652	mmu04024	cAMP signaling pathway
P28652	mmu05200	Pathways in cancer
P28652	mmu04912	GnRH signaling pathway
P28652	mmu04722	Neurotrophin signaling pathway
P28652	mmu05031	Amphetamine addiction
P28652	mmu05012	Parkinson disease
P28652	mmu04720	Long-term potentiation
P28652	mmu04911	Insulin secretion
P28652	mmu04713	Circadian entrainment
P28652	mmu04217	Necroptosis
P28652	mmu04922	Glucagon signaling pathway
P28652	mmu04925	Aldosterone synthesis and secretion
P28652	mmu04750	Inflammatory mediator regulation of TRP channels
P28652	mmu04934	Cushing syndrome
P28652	mmu04740	Olfactory transduction
P28652	mmu05417	Lipid and atherosclerosis
P28652	mmu04020	Calcium signaling pathway
P28652	mmu04310	Wnt signaling pathway
P28652	mmu04012	ErbB signaling pathway
P28652	mmu04148	Efferocytosis
P28652	mmu04261	Adrenergic signaling in cardiomyocytes
P28652	mmu04728	Dopaminergic synapse
P28653	mmu04820	Cytoskeleton in muscle cells
P28654	mmu04820	Cytoskeleton in muscle cells
P28654	mmu05205	Proteoglycans in cancer
P28654	mmu04350	TGF-beta signaling pathway
P28658	mmu05017	Spinocerebellar ataxia
P28660	mmu05132	Salmonella infection
P28660	mmu04810	Regulation of actin cytoskeleton
P28661	mmu04215	Apoptosis - multiple species
P28661	mmu04210	Apoptosis
P28667	mmu04666	Fc gamma R-mediated phagocytosis
P28667	mmu05140	Leishmaniasis
P28700	mmu05202	Transcriptional misregulation in cancer
P28700	mmu05160	Hepatitis C
P28700	mmu04659	Th17 cell differentiation
P28700	mmu05417	Lipid and atherosclerosis
P28700	mmu04148	Efferocytosis
P28700	mmu04932	Non-alcoholic fatty liver disease
P28700	mmu05216	Thyroid cancer
P28700	mmu04151	PI3K-Akt signaling pathway
P28700	mmu04928	Parathyroid hormone synthesis, secretion and action
P28700	mmu05223	Non-small cell lung cancer
P28700	mmu04920	Adipocytokine signaling pathway
P28700	mmu05207	Chemical carcinogenesis - receptor activation
P28700	mmu05222	Small cell lung cancer
P28700	mmu04919	Thyroid hormone signaling pathway
P28700	mmu04976	Bile secretion
P28700	mmu05200	Pathways in cancer
P28700	mmu03320	PPAR signaling pathway
P28700	mmu05226	Gastric cancer
P28704	mmu05207	Chemical carcinogenesis - receptor activation
P28704	mmu03320	PPAR signaling pathway
P28704	mmu04928	Parathyroid hormone synthesis, secretion and action
P28704	mmu05417	Lipid and atherosclerosis
P28704	mmu04919	Thyroid hormone signaling pathway
P28704	mmu05226	Gastric cancer
P28704	mmu04920	Adipocytokine signaling pathway
P28704	mmu05202	Transcriptional misregulation in cancer
P28704	mmu05200	Pathways in cancer
P28704	mmu05216	Thyroid cancer
P28704	mmu05222	Small cell lung cancer
P28704	mmu04659	Th17 cell differentiation
P28704	mmu05223	Non-small cell lung cancer
P28705	mmu04920	Adipocytokine signaling pathway
P28705	mmu05417	Lipid and atherosclerosis
P28705	mmu04919	Thyroid hormone signaling pathway
P28705	mmu03320	PPAR signaling pathway
P28705	mmu05216	Thyroid cancer
P28705	mmu04928	Parathyroid hormone synthesis, secretion and action
P28705	mmu05200	Pathways in cancer
P28705	mmu04659	Th17 cell differentiation
P28705	mmu05207	Chemical carcinogenesis - receptor activation
P28705	mmu05226	Gastric cancer
P28705	mmu05222	Small cell lung cancer
P28705	mmu05202	Transcriptional misregulation in cancer
P28705	mmu05223	Non-small cell lung cancer
P28738	mmu05020	Prion disease
P28738	mmu05016	Huntington disease
P28738	mmu05012	Parkinson disease
P28738	mmu05014	Amyotrophic lateral sclerosis
P28738	mmu05132	Salmonella infection
P28738	mmu05010	Alzheimer disease
P28738	mmu05022	Pathways of neurodegeneration - multiple diseases
P28738	mmu04144	Endocytosis
P28738	mmu04728	Dopaminergic synapse
P28738	mmu05223	Non-small cell lung cancer
P28738	mmu04814	Motor proteins
P28740	mmu04814	Motor proteins
P28741	mmu04814	Motor proteins
P28741	mmu04340	Hedgehog signaling pathway
P28776	mmu05143	African trypanosomiasis
P28776	mmu01240	Biosynthesis of cofactors
P28776	mmu01100	Metabolic pathways
P28776	mmu00380	Tryptophan metabolism
P28825	mmu04974	Protein digestion and absorption
P28828	mmu04520	Adherens junction
P28828	mmu04514	Cell adhesion molecules
P28843	mmu04974	Protein digestion and absorption
P28862	mmu05215	Prostate cancer
P28862	mmu05417	Lipid and atherosclerosis
P28862	mmu04657	IL-17 signaling pathway
P28862	mmu05171	Coronavirus disease - COVID-19
P28862	mmu05323	Rheumatoid arthritis
P28862	mmu04668	TNF signaling pathway
P28862	mmu05202	Transcriptional misregulation in cancer
P28867	mmu04931	Insulin resistance
P28867	mmu05208	Chemical carcinogenesis - reactive oxygen species
P28867	mmu04140	Autophagy - animal
P28867	mmu05020	Prion disease
P28867	mmu04933	AGE-RAGE signaling pathway in diabetic complications
P28867	mmu04270	Vascular smooth muscle contraction
P28867	mmu04062	Chemokine signaling pathway
P28867	mmu04625	C-type lectin receptor signaling pathway
P28867	mmu04621	NOD-like receptor signaling pathway
P28867	mmu04930	Type II diabetes mellitus
P28867	mmu04915	Estrogen signaling pathway
P28867	mmu04912	GnRH signaling pathway
P28867	mmu04750	Inflammatory mediator regulation of TRP channels
P28867	mmu05415	Diabetic cardiomyopathy
P28867	mmu04666	Fc gamma R-mediated phagocytosis
P28867	mmu04722	Neurotrophin signaling pathway
P29037	mmu05016	Huntington disease
P29037	mmu03022	Basal transcription factors
P29037	mmu05165	Human papillomavirus infection
P29037	mmu05017	Spinocerebellar ataxia
P29037	mmu05166	Human T-cell leukemia virus 1 infection
P29037	mmu05203	Viral carcinogenesis
P29268	mmu04371	Apelin signaling pathway
P29268	mmu04390	Hippo signaling pathway
P29341	mmu03015	mRNA surveillance pathway
P29341	mmu03018	RNA degradation
P29351	mmu05140	Leishmaniasis
P29351	mmu04650	Natural killer cell mediated cytotoxicity
P29351	mmu05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
P29351	mmu04520	Adherens junction
P29351	mmu04630	JAK-STAT signaling pathway
P29351	mmu04660	T cell receptor signaling pathway
P29351	mmu04662	B cell receptor signaling pathway
P29351	mmu04148	Efferocytosis
P29351	mmu05205	Proteoglycans in cancer
P29387	mmu04724	Glutamatergic synapse
P29387	mmu05032	Morphine addiction
P29387	mmu04727	GABAergic synapse
P29387	mmu05167	Kaposi sarcoma-associated herpesvirus infection
P29387	mmu05170	Human immunodeficiency virus 1 infection
P29387	mmu04014	Ras signaling pathway
P29387	mmu04728	Dopaminergic synapse
P29387	mmu04723	Retrograde endocannabinoid signaling
P29387	mmu04713	Circadian entrainment
P29387	mmu05200	Pathways in cancer
P29387	mmu05034	Alcoholism
P29387	mmu04725	Cholinergic synapse
P29387	mmu04062	Chemokine signaling pathway
P29387	mmu04726	Serotonergic synapse
P29387	mmu04371	Apelin signaling pathway
P29387	mmu04926	Relaxin signaling pathway
P29387	mmu05163	Human cytomegalovirus infection
P29387	mmu04151	PI3K-Akt signaling pathway
P29416	mmu00513	Various types of N-glycan biosynthesis
P29416	mmu00600	Sphingolipid metabolism
P29416	mmu04142	Lysosome
P29416	mmu01100	Metabolic pathways
P29416	mmu00511	Other glycan degradation
P29416	mmu00604	Glycosphingolipid biosynthesis - ganglio series
P29416	mmu00531	Glycosaminoglycan degradation
P29416	mmu00603	Glycosphingolipid biosynthesis - globo and isoglobo series
P29416	mmu00520	Amino sugar and nucleotide sugar metabolism
P29452	mmu05132	Salmonella infection
P29452	mmu05164	Influenza A
P29452	mmu04613	Neutrophil extracellular trap formation
P29452	mmu05014	Amyotrophic lateral sclerosis
P29452	mmu05171	Coronavirus disease - COVID-19
P29452	mmu04148	Efferocytosis
P29452	mmu05134	Legionellosis
P29452	mmu04623	Cytosolic DNA-sensing pathway
P29452	mmu04621	NOD-like receptor signaling pathway
P29452	mmu05133	Pertussis
P29452	mmu04625	C-type lectin receptor signaling pathway
P29452	mmu04217	Necroptosis
P29452	mmu05135	Yersinia infection
P29452	mmu05417	Lipid and atherosclerosis
P29477	mmu04066	HIF-1 signaling pathway
P29477	mmu04020	Calcium signaling pathway
P29477	mmu05142	Chagas disease
P29477	mmu04371	Apelin signaling pathway
P29477	mmu05140	Leishmaniasis
P29477	mmu05145	Toxoplasmosis
P29477	mmu05200	Pathways in cancer
P29477	mmu04926	Relaxin signaling pathway
P29477	mmu05014	Amyotrophic lateral sclerosis
P29477	mmu05010	Alzheimer disease
P29477	mmu05133	Pertussis
P29477	mmu01100	Metabolic pathways
P29477	mmu05152	Tuberculosis
P29477	mmu05022	Pathways of neurodegeneration - multiple diseases
P29477	mmu04146	Peroxisome
P29477	mmu00330	Arginine and proline metabolism
P29477	mmu00220	Arginine biosynthesis
P29477	mmu05222	Small cell lung cancer
P29477	mmu05146	Amoebiasis
P29594	mmu04210	Apoptosis
P29752	mmu00052	Galactose metabolism
P29752	mmu01100	Metabolic pathways
P29754	mmu04020	Calcium signaling pathway
P29754	mmu04933	AGE-RAGE signaling pathway in diabetic complications
P29754	mmu04072	Phospholipase D signaling pathway
P29754	mmu04022	cGMP-PKG signaling pathway
P29754	mmu05171	Coronavirus disease - COVID-19
P29754	mmu04614	Renin-angiotensin system
P29754	mmu05415	Diabetic cardiomyopathy
P29754	mmu04080	Neuroactive ligand-receptor interaction
P29754	mmu04270	Vascular smooth muscle contraction
P29754	mmu04934	Cushing syndrome
P29754	mmu04924	Renin secretion
P29754	mmu04371	Apelin signaling pathway
P29754	mmu04927	Cortisol synthesis and secretion
P29754	mmu04925	Aldosterone synthesis and secretion
P29754	mmu05200	Pathways in cancer
P29754	mmu04261	Adrenergic signaling in cardiomyocytes
P29755	mmu05415	Diabetic cardiomyopathy
P29755	mmu05200	Pathways in cancer
P29755	mmu04927	Cortisol synthesis and secretion
P29755	mmu04925	Aldosterone synthesis and secretion
P29755	mmu05171	Coronavirus disease - COVID-19
P29755	mmu04933	AGE-RAGE signaling pathway in diabetic complications
P29755	mmu04080	Neuroactive ligand-receptor interaction
P29755	mmu04371	Apelin signaling pathway
P29755	mmu04934	Cushing syndrome
P29755	mmu04072	Phospholipase D signaling pathway
P29755	mmu04022	cGMP-PKG signaling pathway
P29755	mmu04261	Adrenergic signaling in cardiomyocytes
P29755	mmu04614	Renin-angiotensin system
P29755	mmu04270	Vascular smooth muscle contraction
P29755	mmu04020	Calcium signaling pathway
P29755	mmu04924	Renin secretion
P29758	mmu00330	Arginine and proline metabolism
P29758	mmu01100	Metabolic pathways
P29788	mmu04512	ECM-receptor interaction
P29788	mmu05205	Proteoglycans in cancer
P29788	mmu04610	Complement and coagulation cascades
P29788	mmu05165	Human papillomavirus infection
P29788	mmu04151	PI3K-Akt signaling pathway
P29788	mmu04510	Focal adhesion
P29812	mmu00350	Tyrosine metabolism
P29812	mmu04916	Melanogenesis
P29812	mmu01100	Metabolic pathways
P29974	mmu04744	Phototransduction
P29974	mmu04024	cAMP signaling pathway
P29974	mmu04022	cGMP-PKG signaling pathway
P30115	mmu05207	Chemical carcinogenesis - receptor activation
P30115	mmu05418	Fluid shear stress and atherosclerosis
P30115	mmu05204	Chemical carcinogenesis - DNA adducts
P30115	mmu05225	Hepatocellular carcinoma
P30115	mmu00982	Drug metabolism - cytochrome P450
P30115	mmu01524	Platinum drug resistance
P30115	mmu00980	Metabolism of xenobiotics by cytochrome P450
P30115	mmu05200	Pathways in cancer
P30115	mmu00480	Glutathione metabolism
P30115	mmu00983	Drug metabolism - other enzymes
P30115	mmu01100	Metabolic pathways
P30115	mmu05208	Chemical carcinogenesis - reactive oxygen species
P30204	mmu04145	Phagosome
P30275	mmu00330	Arginine and proline metabolism
P30275	mmu01100	Metabolic pathways
P30276	mmu04218	Cellular senescence
P30276	mmu04110	Cell cycle
P30276	mmu04115	p53 signaling pathway
P30276	mmu04914	Progesterone-mediated oocyte maturation
P30276	mmu05166	Human T-cell leukemia virus 1 infection
P30276	mmu04114	Oocyte meiosis
P30276	mmu05170	Human immunodeficiency virus 1 infection
P30276	mmu04068	FoxO signaling pathway
P30280	mmu05169	Epstein-Barr virus infection
P30280	mmu04110	Cell cycle
P30280	mmu04510	Focal adhesion
P30280	mmu04390	Hippo signaling pathway
P30280	mmu04068	FoxO signaling pathway
P30280	mmu04218	Cellular senescence
P30280	mmu05166	Human T-cell leukemia virus 1 infection
P30280	mmu04340	Hedgehog signaling pathway
P30280	mmu04115	p53 signaling pathway
P30280	mmu05203	Viral carcinogenesis
P30280	mmu04630	JAK-STAT signaling pathway
P30280	mmu05165	Human papillomavirus infection
P30280	mmu05200	Pathways in cancer
P30280	mmu05162	Measles
P30280	mmu05206	MicroRNAs in cancer
P30280	mmu04151	PI3K-Akt signaling pathway
P30280	mmu05202	Transcriptional misregulation in cancer
P30280	mmu04310	Wnt signaling pathway
P30280	mmu04917	Prolactin signaling pathway
P30282	mmu04510	Focal adhesion
P30282	mmu05166	Human T-cell leukemia virus 1 infection
P30282	mmu05165	Human papillomavirus infection
P30282	mmu04218	Cellular senescence
P30282	mmu05203	Viral carcinogenesis
P30282	mmu04115	p53 signaling pathway
P30282	mmu04151	PI3K-Akt signaling pathway
P30282	mmu05200	Pathways in cancer
P30282	mmu05207	Chemical carcinogenesis - receptor activation
P30282	mmu05162	Measles
P30282	mmu04310	Wnt signaling pathway
P30282	mmu05164	Influenza A
P30282	mmu04110	Cell cycle
P30282	mmu05169	Epstein-Barr virus infection
P30282	mmu04390	Hippo signaling pathway
P30282	mmu04630	JAK-STAT signaling pathway
P30285	mmu05203	Viral carcinogenesis
P30285	mmu04934	Cushing syndrome
P30285	mmu05163	Human cytomegalovirus infection
P30285	mmu05160	Hepatitis C
P30285	mmu04933	AGE-RAGE signaling pathway in diabetic complications
P30285	mmu04110	Cell cycle
P30285	mmu05222	Small cell lung cancer
P30285	mmu05220	Chronic myeloid leukemia
P30285	mmu05218	Melanoma
P30285	mmu04151	PI3K-Akt signaling pathway
P30285	mmu05165	Human papillomavirus infection
P30285	mmu05167	Kaposi sarcoma-associated herpesvirus infection
P30285	mmu04530	Tight junction
P30285	mmu05162	Measles
P30285	mmu05224	Breast cancer
P30285	mmu05219	Bladder cancer
P30285	mmu05169	Epstein-Barr virus infection
P30285	mmu04115	p53 signaling pathway
P30285	mmu05166	Human T-cell leukemia virus 1 infection
P30285	mmu04218	Cellular senescence
P30285	mmu05164	Influenza A
P30285	mmu05212	Pancreatic cancer
P30285	mmu05200	Pathways in cancer
P30285	mmu04660	T cell receptor signaling pathway
P30285	mmu05214	Glioma
P30285	mmu05225	Hepatocellular carcinoma
P30285	mmu05223	Non-small cell lung cancer
P30285	mmu01522	Endocrine resistance
P30306	mmu05206	MicroRNAs in cancer
P30306	mmu04914	Progesterone-mediated oocyte maturation
P30306	mmu04010	MAPK signaling pathway
P30306	mmu04110	Cell cycle
P30355	mmu04664	Fc epsilon RI signaling pathway
P30416	mmu04915	Estrogen signaling pathway
P30545	mmu04080	Neuroactive ligand-receptor interaction
P30545	mmu04022	cGMP-PKG signaling pathway
P30548	mmu04080	Neuroactive ligand-receptor interaction
P30548	mmu04020	Calcium signaling pathway
P30549	mmu04020	Calcium signaling pathway
P30549	mmu04080	Neuroactive ligand-receptor interaction
P30554	mmu04614	Renin-angiotensin system
P30554	mmu05171	Coronavirus disease - COVID-19
P30554	mmu04080	Neuroactive ligand-receptor interaction
P30558	mmu04020	Calcium signaling pathway
P30558	mmu04072	Phospholipase D signaling pathway
P30558	mmu05200	Pathways in cancer
P30558	mmu04080	Neuroactive ligand-receptor interaction
P30558	mmu04611	Platelet activation
P30558	mmu04810	Regulation of actin cytoskeleton
P30558	mmu04015	Rap1 signaling pathway
P30558	mmu04610	Complement and coagulation cascades
P30558	mmu04151	PI3K-Akt signaling pathway
P30558	mmu04024	cAMP signaling pathway
P30561	mmu05207	Chemical carcinogenesis - receptor activation
P30561	mmu05208	Chemical carcinogenesis - reactive oxygen species
P30561	mmu04659	Th17 cell differentiation
P30561	mmu04934	Cushing syndrome
P30658	mmu03083	Polycomb repressive complex
P30677	mmu05146	Amoebiasis
P30677	mmu05142	Chagas disease
P30677	mmu04020	Calcium signaling pathway
P30678	mmu05146	Amoebiasis
P30678	mmu05142	Chagas disease
P30678	mmu04020	Calcium signaling pathway
P30678	mmu04926	Relaxin signaling pathway
P30728	mmu04728	Dopaminergic synapse
P30728	mmu04080	Neuroactive ligand-receptor interaction
P30730	mmu04913	Ovarian steroidogenesis
P30730	mmu04080	Neuroactive ligand-receptor interaction
P30730	mmu04020	Calcium signaling pathway
P30730	mmu04024	cAMP signaling pathway
P30730	mmu04917	Prolactin signaling pathway
P30731	mmu04080	Neuroactive ligand-receptor interaction
P30873	mmu04024	cAMP signaling pathway
P30873	mmu04935	Growth hormone synthesis, secretion and action
P30873	mmu04080	Neuroactive ligand-receptor interaction
P30875	mmu04024	cAMP signaling pathway
P30875	mmu04971	Gastric acid secretion
P30875	mmu04935	Growth hormone synthesis, secretion and action
P30875	mmu04080	Neuroactive ligand-receptor interaction
P30882	mmu04623	Cytosolic DNA-sensing pathway
P30882	mmu05168	Herpes simplex virus 1 infection
P30882	mmu04061	Viral protein interaction with cytokine and cytokine receptor
P30882	mmu05417	Lipid and atherosclerosis
P30882	mmu04060	Cytokine-cytokine receptor interaction
P30882	mmu05020	Prion disease
P30882	mmu04668	TNF signaling pathway
P30882	mmu05164	Influenza A
P30882	mmu05163	Human cytomegalovirus infection
P30882	mmu04621	NOD-like receptor signaling pathway
P30882	mmu04620	Toll-like receptor signaling pathway
P30882	mmu05142	Chagas disease
P30882	mmu04062	Chemokine signaling pathway
P30882	mmu05323	Rheumatoid arthritis
P30935	mmu04935	Growth hormone synthesis, secretion and action
P30935	mmu04080	Neuroactive ligand-receptor interaction
P30966	mmu04020	Calcium signaling pathway
P30966	mmu04080	Neuroactive ligand-receptor interaction
P30966	mmu04726	Serotonergic synapse
P30987	mmu04611	Platelet activation
P30987	mmu04020	Calcium signaling pathway
P30987	mmu04080	Neuroactive ligand-receptor interaction
P30993	mmu04936	Alcoholic liver disease
P30993	mmu05150	Staphylococcus aureus infection
P30993	mmu05171	Coronavirus disease - COVID-19
P30993	mmu04080	Neuroactive ligand-receptor interaction
P30993	mmu04610	Complement and coagulation cascades
P30993	mmu04613	Neutrophil extracellular trap formation
P30999	mmu04670	Leukocyte transendothelial migration
P30999	mmu04520	Adherens junction
P30999	mmu04015	Rap1 signaling pathway
P31001	mmu05414	Dilated cardiomyopathy
P31001	mmu04820	Cytoskeleton in muscle cells
P31001	mmu05410	Hypertrophic cardiomyopathy
P31001	mmu05412	Arrhythmogenic right ventricular cardiomyopathy
P31041	mmu05320	Autoimmune thyroid disease
P31041	mmu04672	Intestinal immune network for IgA production
P31041	mmu05322	Systemic lupus erythematosus
P31041	mmu05416	Viral myocarditis
P31041	mmu05323	Rheumatoid arthritis
P31041	mmu04660	T cell receptor signaling pathway
P31041	mmu04514	Cell adhesion molecules
P31041	mmu04940	Type I diabetes mellitus
P31041	mmu05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
P31041	mmu05330	Allograft rejection
P31041	mmu05162	Measles
P31041	mmu05332	Graft-versus-host disease
P31240	mmu04810	Regulation of actin cytoskeleton
P31240	mmu05211	Renal cell carcinoma
P31240	mmu04010	MAPK signaling pathway
P31240	mmu04510	Focal adhesion
P31240	mmu05218	Melanoma
P31240	mmu05167	Kaposi sarcoma-associated herpesvirus infection
P31240	mmu04015	Rap1 signaling pathway
P31240	mmu05215	Prostate cancer
P31240	mmu04072	Phospholipase D signaling pathway
P31240	mmu05200	Pathways in cancer
P31240	mmu01521	EGFR tyrosine kinase inhibitor resistance
P31240	mmu05231	Choline metabolism in cancer
P31240	mmu04014	Ras signaling pathway
P31240	mmu04151	PI3K-Akt signaling pathway
P31240	mmu04630	JAK-STAT signaling pathway
P31240	mmu04540	Gap junction
P31240	mmu04020	Calcium signaling pathway
P31240	mmu05214	Glioma
P31240	mmu05206	MicroRNAs in cancer
P31240	mmu05418	Fluid shear stress and atherosclerosis
P31266	mmu05165	Human papillomavirus infection
P31266	mmu05203	Viral carcinogenesis
P31266	mmu04330	Notch signaling pathway
P31266	mmu05169	Epstein-Barr virus infection
P31266	mmu04658	Th1 and Th2 cell differentiation
P31266	mmu05017	Spinocerebellar ataxia
P31310	mmu05202	Transcriptional misregulation in cancer
P31311	mmu05202	Transcriptional misregulation in cancer
P31324	mmu04910	Insulin signaling pathway
P31362	mmu05417	Lipid and atherosclerosis
P31362	mmu05168	Herpes simplex virus 1 infection
P31482	mmu04014	Ras signaling pathway
P31482	mmu04975	Fat digestion and absorption
P31482	mmu04270	Vascular smooth muscle contraction
P31482	mmu00592	alpha-Linolenic acid metabolism
P31482	mmu00565	Ether lipid metabolism
P31482	mmu00591	Linoleic acid metabolism
P31482	mmu01100	Metabolic pathways
P31482	mmu00590	Arachidonic acid metabolism
P31482	mmu00564	Glycerophospholipid metabolism
P31482	mmu04972	Pancreatic secretion
P31648	mmu04727	GABAergic synapse
P31648	mmu04721	Synaptic vesicle cycle
P31649	mmu04727	GABAergic synapse
P31649	mmu04721	Synaptic vesicle cycle
P31650	mmu04721	Synaptic vesicle cycle
P31650	mmu04727	GABAergic synapse
P31695	mmu04330	Notch signaling pathway
P31695	mmu05206	MicroRNAs in cancer
P31695	mmu01522	Endocrine resistance
P31695	mmu05224	Breast cancer
P31695	mmu04919	Thyroid hormone signaling pathway
P31695	mmu05200	Pathways in cancer
P31695	mmu05165	Human papillomavirus infection
P31725	mmu04657	IL-17 signaling pathway
P31750	mmu05168	Herpes simplex virus 1 infection
P31750	mmu05222	Small cell lung cancer
P31750	mmu04914	Progesterone-mediated oocyte maturation
P31750	mmu04973	Carbohydrate digestion and absorption
P31750	mmu04666	Fc gamma R-mediated phagocytosis
P31750	mmu05230	Central carbon metabolism in cancer
P31750	mmu04922	Glucagon signaling pathway
P31750	mmu04213	Longevity regulating pathway - multiple species
P31750	mmu04012	ErbB signaling pathway
P31750	mmu04022	cGMP-PKG signaling pathway
P31750	mmu05208	Chemical carcinogenesis - reactive oxygen species
P31750	mmu04931	Insulin resistance
P31750	mmu04510	Focal adhesion
P31750	mmu01521	EGFR tyrosine kinase inhibitor resistance
P31750	mmu05417	Lipid and atherosclerosis
P31750	mmu04151	PI3K-Akt signaling pathway
P31750	mmu05160	Hepatitis C
P31750	mmu04917	Prolactin signaling pathway
P31750	mmu04211	Longevity regulating pathway
P31750	mmu04066	HIF-1 signaling pathway
P31750	mmu05132	Salmonella infection
P31750	mmu04150	mTOR signaling pathway
P31750	mmu04210	Apoptosis
P31750	mmu04630	JAK-STAT signaling pathway
P31750	mmu05213	Endometrial cancer
P31750	mmu04071	Sphingolipid signaling pathway
P31750	mmu04261	Adrenergic signaling in cardiomyocytes
P31750	mmu04935	Growth hormone synthesis, secretion and action
P31750	mmu05164	Influenza A
P31750	mmu04062	Chemokine signaling pathway
P31750	mmu01524	Platinum drug resistance
P31750	mmu04371	Apelin signaling pathway
P31750	mmu05205	Proteoglycans in cancer
P31750	mmu04725	Cholinergic synapse
P31750	mmu05211	Renal cell carcinoma
P31750	mmu04728	Dopaminergic synapse
P31750	mmu04933	AGE-RAGE signaling pathway in diabetic complications
P31750	mmu05218	Melanoma
P31750	mmu05231	Choline metabolism in cancer
P31750	mmu04929	GnRH secretion
P31750	mmu04910	Insulin signaling pathway
P31750	mmu04915	Estrogen signaling pathway
P31750	mmu05169	Epstein-Barr virus infection
P31750	mmu04024	cAMP signaling pathway
P31750	mmu05162	Measles
P31750	mmu04140	Autophagy - animal
P31750	mmu05017	Spinocerebellar ataxia
P31750	mmu05142	Chagas disease
P31750	mmu04919	Thyroid hormone signaling pathway
P31750	mmu04550	Signaling pathways regulating pluripotency of stem cells
P31750	mmu05215	Prostate cancer
P31750	mmu01522	Endocrine resistance
P31750	mmu05010	Alzheimer disease
P31750	mmu04936	Alcoholic liver disease
P31750	mmu05220	Chronic myeloid leukemia
P31750	mmu04920	Adipocytokine signaling pathway
P31750	mmu05226	Gastric cancer
P31750	mmu04926	Relaxin signaling pathway
P31750	mmu05170	Human immunodeficiency virus 1 infection
P31750	mmu05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
P31750	mmu04662	B cell receptor signaling pathway
P31750	mmu04613	Neutrophil extracellular trap formation
P31750	mmu04611	Platelet activation
P31750	mmu04370	VEGF signaling pathway
P31750	mmu05161	Hepatitis B
P31750	mmu05167	Kaposi sarcoma-associated herpesvirus infection
P31750	mmu05145	Toxoplasmosis
P31750	mmu05225	Hepatocellular carcinoma
P31750	mmu05210	Colorectal cancer
P31750	mmu04015	Rap1 signaling pathway
P31750	mmu05223	Non-small cell lung cancer
P31750	mmu04218	Cellular senescence
P31750	mmu04380	Osteoclast differentiation
P31750	mmu04625	C-type lectin receptor signaling pathway
P31750	mmu04810	Regulation of actin cytoskeleton
P31750	mmu04010	MAPK signaling pathway
P31750	mmu04620	Toll-like receptor signaling pathway
P31750	mmu05214	Glioma
P31750	mmu05200	Pathways in cancer
P31750	mmu05418	Fluid shear stress and atherosclerosis
P31750	mmu04660	T cell receptor signaling pathway
P31750	mmu04932	Non-alcoholic fatty liver disease
P31750	mmu04072	Phospholipase D signaling pathway
P31750	mmu04014	Ras signaling pathway
P31750	mmu04068	FoxO signaling pathway
P31750	mmu05415	Diabetic cardiomyopathy
P31750	mmu05221	Acute myeloid leukemia
P31750	mmu05212	Pancreatic cancer
P31750	mmu04923	Regulation of lipolysis in adipocytes
P31750	mmu04152	AMPK signaling pathway
P31750	mmu05135	Yersinia infection
P31750	mmu05152	Tuberculosis
P31750	mmu04664	Fc epsilon RI signaling pathway
P31750	mmu04722	Neurotrophin signaling pathway
P31750	mmu05163	Human cytomegalovirus infection
P31750	mmu05166	Human T-cell leukemia virus 1 infection
P31750	mmu04668	TNF signaling pathway
P31750	mmu05224	Breast cancer
P31750	mmu05165	Human papillomavirus infection
P31750	mmu05207	Chemical carcinogenesis - receptor activation
P31786	mmu03320	PPAR signaling pathway
P31938	mmu04510	Focal adhesion
P31938	mmu04370	VEGF signaling pathway
P31938	mmu05223	Non-small cell lung cancer
P31938	mmu05166	Human T-cell leukemia virus 1 infection
P31938	mmu04210	Apoptosis
P31938	mmu05211	Renal cell carcinoma
P31938	mmu05034	Alcoholism
P31938	mmu05215	Prostate cancer
P31938	mmu04550	Signaling pathways regulating pluripotency of stem cells
P31938	mmu04810	Regulation of actin cytoskeleton
P31938	mmu04668	TNF signaling pathway
P31938	mmu05022	Pathways of neurodegeneration - multiple diseases
P31938	mmu04915	Estrogen signaling pathway
P31938	mmu05216	Thyroid cancer
